,0
Avg min between sent tnx,17.365000000000002
Avg min between received tnx,505.22
Time Diff between first and last (Mins),47603.31
Sent tnx,3.0
Received Tnx,4.0
Number of Created Contracts,0.0
Unique Received From Addresses,2.0
Unique Sent To Addresses,2.0
min value received,0.095
max value received,5.995461000000001
avg val received,1.6974014999999998
min val sent,0.0496935
max val sent,4.999559
avg val sent,1.6214264999999999
min value sent to contract,0.0
total Ether sent,12.24181878
total ether balance,0.0017219999999999
Total ERC20 tnxs,1.0
ERC20 total Ether received,9.11e-13
ERC20 total Ether sent contract,0.0
ERC20 max val sent,0.0
